group,id,company,title,location,date_posted,discovered_at,source,status,fit_score,base_variant,flags,jd_quality,url,fit_rationale
A,4021,Applied Materials,Data Scientist,"Santa Clara, CA",2026-09-07,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://amat.wd1.myworkdayjobs.com/External/job/Santa-ClaraCA/Data-Scientist_R2627532-1,
A,4010,NXP Semiconductors,Digital Validation Engineer,"Austin, TX",2026-09-07,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Austin-Oakhill-Office/Entry-Level-Digital-Validation-Engineer_R-10065559,
A,4009,NXP Semiconductors,Entry Level DFT Design Engineer,"Austin, TX",2026-09-07,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Austin-Oakhill-Office/Entry-Level-Digital-Design-Engineer_R-10065554,
A,4007,TikTok,Data Engineer Graduate,"San Jose, CA",2026-09-07,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://lifeattiktok.com/search/7681779180341709109,
A,3999,Mass General Brigham,Data Analyst 1,"Somerville, MA",2026-09-05,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://massgeneralbrigham.wd1.myworkdayjobs.com/mgbexternal/job/Somerville-MA/Data-Analyst-I_RQ4078299,
A,3992,AiPrise,Software Engineer 1,"San Jose, CA",2026-09-05,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://jobs.ashbyhq.com/aiprise/baf8a79b-d035-4bc1-8b12-4ef48e0257ba/application?embed=true,
A,3981,ID.me,Software Development Engineer New Grad,"Mountain View, CA",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://job-boards.greenhouse.io/idmeuniversityrecruiting/jobs/7980382003,
A,3980,Scale AI,Software Engineer New Grad,SF,2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""start_date_unknown""]",ats,https://job-boards.greenhouse.io/scaleai/jobs/4730836005,
A,3978,Houlihan Lokey,AI Business Development Analyst,"Atlanta, GA",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://hl.wd1.myworkdayjobs.com/Campus/job/Atlanta-GA-USA/AI-Business-Development-Analyst_R3556-1,
A,3977,Techtronic Industries (TTI),Tool Integration Electrical Engineer 1/2,"Anderson, SC",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://tti.wd1.myworkdayjobs.com/tti_pe/job/Anderson-SC/Tool-Integration-Electrical-Engineer-I-II_R77485,
A,3974,Aerotech,Software Engineer - Application Development,"Pittsburgh, PA",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""authorization_ambiguous"", ""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://aerotech.applytojob.com/apply/F6xsydip1r/Software-Engineer-Application-Development,
A,3973,Aerotech,Software Engineer - Enterprise Development,"Pittsburgh, PA",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""authorization_ambiguous"", ""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://aerotech.applytojob.com/apply/K8ctztnPW6/Software-Engineer-Enterprise-Development,
A,3971,Credence,Entry-Level AI Software Engineer,"McLean, VA",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://apply.workable.com/credence/j/BAD39E80E0/apply,
A,3970,Edgehog Trading,Graduate Software Engineer,"Chicago, IL",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://ats.rippling.com/edgehog-trading/jobs/0d6b0e5c-be84-4324-8ee3-b875504e01d8,
A,3969,Edgehog Trading,Graduate Quantitative Trader,"Chicago, IL",2026-09-04,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://ats.rippling.com/edgehog-trading/jobs/96354af0-1bd0-4703-a654-e3d591b07777,
